	entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
1666	HG03366	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03366/analysis/HG03366.final.cram	2.42e-05	38.153787	67	430	0.992503	0.983034	0.8766299999999999	0.006743	0.071309	122419000000.0	HG03366	PASS	0.004613	0.004765
1688	HG03432	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03432/analysis/HG03432.final.cram	4.56e-09	35.98042	66	434	0.992042	0.980073	0.810587	0.007481	0.088965	116012000000.0	HG03432	PASS	0.004214	0.005055
1689	HG03433	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03433/analysis/HG03433.final.cram	2.3e-05	40.192744	67	429	0.992994	0.985628	0.920582	0.0078459999999999	0.095289	131816000000.0	HG03433	PASS	0.00413	0.004872
1706	HG03460	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03460/analysis/HG03460.final.cram	0.000203934	34.970358000000004	69	435	0.992076	0.978381	0.771981	0.008092	0.085006	112773000000.0	HG03460	PASS	0.004195	0.00491
1743	HG03557	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03557/analysis/HG03557.final.cram	2.7e-06	36.735603000000005	67	433	0.992479	0.982081	0.836393	0.007315	0.112245	124192000000.0	HG03557	PASS	0.004023	0.004557
1748	HG03567	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03567/analysis/HG03567.final.cram	3.64e-05	32.391784	62	404	0.992257	0.968484	0.639891	0.0076	0.104791	109458000000.0	HG03567	PASS	0.004239	0.004441
1764	HG03595	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03595/analysis/HG03595.final.cram	0.000284305	38.115445	71	437	0.993779	0.985437	0.8752770000000001	0.007121	0.104997	127485000000.0	HG03595	PASS	0.003667	0.004011
1820	HG03691	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03691/analysis/HG03691.final.cram	1.0499999999999999e-09	35.839807	74	458	0.993316	0.981355	0.802237	0.006405	0.0980169999999999	116822000000.0	HG03691	PASS	0.004107	0.004621
1856	HG03733	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03733/analysis/HG03733.final.cram	4.7499999999999995e-09	37.070851	71	444	0.993791	0.984082	0.843858	0.007262	0.1128339999999999	125375000000.0	HG03733	PASS	0.003871	0.0044659999999999
1883	HG03775	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03775/analysis/HG03775.final.cram	7.49e-05	33.295085	64	413	0.992558	0.972907	0.687842	0.007753	0.1032859999999999	109388000000.0	HG03775	PASS	0.004158	0.004413
1894	HG03788	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03788/analysis/HG03788.final.cram	2.16e-06	33.584428	68	436	0.993139	0.974891	0.704561	0.007331	0.1166079999999999	112109000000.0	HG03788	PASS	0.004068	0.004342
1938	HG03854	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03854/analysis/HG03854.final.cram	0.00202287	35.507826	66	429	0.992989	0.98	0.7912060000000001	0.006744	0.10708	116461000000.0	HG03854	PASS	0.0049159999999999	0.005242
1948	HG03868	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03868/analysis/HG03868.final.cram	0.0007540569999999	35.004326	72	453	0.993765	0.980746	0.776108	0.007023	0.1197859999999999	119270000000.0	HG03868	PASS	0.004138	0.0048649999999999
1955	HG03875	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03875/analysis/HG03875.final.cram	0.00316318	40.190962	65	420	0.993589	0.986529	0.919345	0.008053	0.08716	129461000000.0	HG03875	PASS	0.004468	0.004718
1956	HG03882	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03882/analysis/HG03882.final.cram	1.81e-08	31.780609	65	424	0.992499	0.96424	0.601905	0.008126	0.106609	106796000000.0	HG03882	PASS	0.003903	0.004273
1962	HG03890	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03890/analysis/HG03890.final.cram	5.19e-05	36.179906	66	423	0.993325	0.982341	0.817663	0.007383	0.091138	117156000000.0	HG03890	PASS	0.004614	0.0049689999999999
1967	HG03898	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03898/analysis/HG03898.final.cram	0.00557165	38.634469	67	421	0.993415	0.985553	0.888898	0.007651	0.084084	126501000000.0	HG03898	PASS	0.0044329999999999	0.005009
1970	HG03902	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03902/analysis/HG03902.final.cram	9.43e-05	43.344888	66	421	0.993972	0.988467	0.956218	0.0069349999999999	0.087558	141055000000.0	HG03902	PASS	0.0044399999999999	0.005094
2026	HG03995	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03995/analysis/HG03995.final.cram	0.00331632	42.011637	66	426	0.993839	0.987437	0.93933	0.007629	0.085286	137194000000.0	HG03995	PASS	0.0043549999999999	0.0047009999999999
2084	HG04144	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG04144/analysis/HG04144.final.cram	0.00184551	34.957211	67	435	0.993596	0.978777	0.7697390000000001	0.006461	0.106698	115896000000.0	HG04144	PASS	0.004673	0.005236
2099	HG04161	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG04161/analysis/HG04161.final.cram	7.020000000000001e-05	34.153668	67	425	0.993126	0.977054	0.7358	0.008336	0.1090839999999999	112284000000.0	HG04161	PASS	0.004849	0.00513
2134	HG04216	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG04216/analysis/HG04216.final.cram	9.84e-05	37.095675	68	434	0.993346	0.982543	0.8396870000000001	0.006309	0.1118869999999999	123708000000.0	HG04216	PASS	0.004849	0.0050729999999999
2326	NA18488	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18488/analysis/NA18488.final.cram	3.13e-09	31.716203000000004	70	441	0.99151	0.96289	0.6054970000000001	0.005763	0.098061	105268000000.0	NA18488	PASS	0.004376	0.004718
2340	NA18511	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18511/analysis/NA18511.final.cram	9.86e-08	41.314766	67	432	0.9933	0.986536	0.932677	0.007487	0.080508	134669000000.0	NA18511	PASS	0.004003	0.004753
2361	NA18538	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18538/analysis/NA18538.final.cram	7.859999999999999e-09	42.667501	69	431	0.994082	0.987712	0.949313	0.007277	0.083635	139598000000.0	NA18538	PASS	0.0041719999999999	0.004539
2369	NA18547	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18547/analysis/NA18547.final.cram	1.26e-06	40.487818	69	436	0.993714	0.986861	0.919106	0.007669	0.087708	133128000000.0	NA18547	PASS	0.003802	0.004978
2378	NA18559	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18559/analysis/NA18559.final.cram	3.3899999999999997e-09	36.867302	64	424	0.993978	0.98374	0.838483	0.0076739999999999	0.085762	118723000000.0	NA18559	PASS	0.004091	0.0046
2389	NA18572	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18572/analysis/NA18572.final.cram	1.87e-05	49.209374	69	437	0.994914	0.990459	0.978647	0.007529	0.082915	157600000000.0	NA18572	PASS	0.003965	0.004966
2405	NA18606	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18606/analysis/NA18606.final.cram	4.46e-09	42.19908	66	422	0.993672	0.987604	0.945116	0.007151	0.082963	136301000000.0	NA18606	PASS	0.0040659999999999	0.004956
2409	NA18611	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18611/analysis/NA18611.final.cram	3.11e-05	35.481814	70	448	0.993271	0.980501	0.789704	0.005782	0.102339	116359000000.0	NA18611	PASS	0.0039829999999999	0.004768
2434	NA18636	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18636/analysis/NA18636.final.cram	9.66e-07	36.344823	72	447	0.993119	0.982734	0.8249639999999999	0.007634	0.102376	119506000000.0	NA18636	PASS	0.004116	0.004718
2449	NA18748	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18748/analysis/NA18748.final.cram	2.04e-06	36.842167	68	433	0.993456	0.98338	0.842707	0.005723	0.106547	120898000000.0	NA18748	PASS	0.004063	0.006325
2469	NA18870	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18870/analysis/NA18870.final.cram	1.55e-08	34.702895	66	432	0.992331	0.977416	0.763201	0.0078459999999999	0.100498	115983000000.0	NA18870	PASS	0.0042159999999999	0.0048909999999999
2501	NA18942	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18942/analysis/NA18942.final.cram	1.3699999999999998e-05	34.459920000000004	68	434	0.993206	0.977593	0.741204	0.006803	0.120244	117237000000.0	NA18942	PASS	0.003512	0.004425
2524	NA18967	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18967/analysis/NA18967.final.cram	3.05e-06	36.132942	69	431	0.993082	0.981218	0.817753	0.0061719999999999	0.074101	114793000000.0	NA18967	PASS	0.004715	0.0049159999999999
2527	NA18970	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18970/analysis/NA18970.final.cram	3.9e-06	41.297293	67	425	0.993924	0.987408	0.926743	0.008085	0.075287	131139000000.0	NA18970	PASS	0.003887	0.004533
2552	NA18995	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18995/analysis/NA18995.final.cram	7.090000000000001e-09	35.879215	66	427	0.99282	0.98068	0.804516	0.006942	0.0880659999999999	115965000000.0	NA18995	PASS	0.00401	0.004397
