gs_path	bytes	gigabytes	cost	price_tier
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03691/analysis/HG03691.final.cram	16915333384	15.753631	$1.89	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03733/analysis/HG03733.final.cram	17899689005	16.670384	$2.00	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03775/analysis/HG03775.final.cram	15752694967	14.670840	$1.76	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03788/analysis/HG03788.final.cram	15936728397	14.842234	$1.78	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03854/analysis/HG03854.final.cram	17863682675	16.636850	$2.00	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03868/analysis/HG03868.final.cram	17844929019	16.619385	$1.99	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03875/analysis/HG03875.final.cram	19011483720	17.705823	$2.12	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03882/analysis/HG03882.final.cram	15250937388	14.203542	$1.70	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03890/analysis/HG03890.final.cram	17443601044	16.245619	$1.95	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03898/analysis/HG03898.final.cram	19382404486	18.051270	$2.17	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03902/analysis/HG03902.final.cram	21218520656	19.761287	$2.37	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03995/analysis/HG03995.final.cram	20230487177	18.841109	$2.26	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG04144/analysis/HG04144.final.cram	17695432222	16.480155	$1.98	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG04161/analysis/HG04161.final.cram	17306969546	16.118371	$1.93	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG04216/analysis/HG04216.final.cram	19180994007	17.863692	$2.14	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA18488/analysis/NA18488.final.cram	15648200940	14.573522	$1.75	tier-1
