	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of NA19909	Umbrella	PRJNA730822	NA19909 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021607	NA19909	Homo sapiens
0	Assembly of NA20282	Umbrella	PRJNA730822	NA20282 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021608	NA20282	Homo sapiens
0	Assembly of NA20346	Umbrella	PRJNA730822	NA20346 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021609	NA20346	Homo sapiens
0	Assembly of NA19776	Umbrella	PRJNA730822	NA19776 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021610	NA19776	Homo sapiens
0	Assembly of NA19682	Umbrella	PRJNA730822	NA19682 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021611	NA19682	Homo sapiens
0	Assembly of NA19700	Umbrella	PRJNA730822	NA19700 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021612	NA19700	Homo sapiens
0	Assembly of NA19390	Umbrella	PRJNA730822	NA19390 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021613	NA19390	Homo sapiens
0	Assembly of NA19175	Umbrella	PRJNA730822	NA19175 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021614	NA19175	Homo sapiens
0	Assembly of HG02392	Umbrella	PRJNA730822	HG02392 assembly generated by the Human Pangenome Reference Consortium	SAMN41021615	HG02392	Homo sapiens
0	Assembly of HG00867	Umbrella	PRJNA730822	HG00867 assembly generated by the Human Pangenome Reference Consortium	SAMN41021616	HG00867	Homo sapiens
0	Assembly of HG02178	Umbrella	PRJNA730822	HG02178 assembly generated by the Human Pangenome Reference Consortium	SAMN41021617	HG02178	Homo sapiens
0	Assembly of NA18620	Umbrella	PRJNA730822	NA18620 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021618	NA18620	Homo sapiens
0	Assembly of NA18608	Umbrella	PRJNA730822	NA18608 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021619	NA18608	Homo sapiens
0	Assembly of NA18974	Umbrella	PRJNA730822	NA18974 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021620	NA18974	Homo sapiens
0	Assembly of NA18952	Umbrella	PRJNA730822	NA18952 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021621	NA18952	Homo sapiens
0	Assembly of NA18976	Umbrella	PRJNA730822	NA18976 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021622	NA18976	Homo sapiens
0	Assembly of NA20870	Umbrella	PRJNA730822	NA20870 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021623	NA20870	Homo sapiens
0	Assembly of NA21110	Umbrella	PRJNA730822	NA21110 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021624	NA21110	Homo sapiens
0	Assembly of HG03874	Umbrella	PRJNA730822	HG03874 assembly generated by the Human Pangenome Reference Consortium	SAMN41021625	HG03874	Homo sapiens
0	Assembly of NA18508	Umbrella	PRJNA730822	NA18508 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021626	NA18508	Homo sapiens
0	Assembly of NA21093	Umbrella	PRJNA730822	NA21093 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021627	NA21093	Homo sapiens
0	Assembly of HG03611	Umbrella	PRJNA730822	HG03611 assembly generated by the Human Pangenome Reference Consortium	SAMN41021628	HG03611	Homo sapiens
0	Assembly of NA21106	Umbrella	PRJNA730822	NA21106 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021629	NA21106	Homo sapiens
0	Assembly of NA20503	Umbrella	PRJNA730822	NA20503 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021630	NA20503	Homo sapiens
0	Assembly of HG03270	Umbrella	PRJNA730822	HG03270 assembly generated by the Human Pangenome Reference Consortium	SAMN41021631	HG03270	Homo sapiens
0	Assembly of HG00320	Umbrella	PRJNA730822	HG00320 assembly generated by the Human Pangenome Reference Consortium	SAMN41021632	HG00320	Homo sapiens
0	Assembly of HG01786	Umbrella	PRJNA730822	HG01786 assembly generated by the Human Pangenome Reference Consortium	SAMN41021633	HG01786	Homo sapiens
0	Assembly of HG00146	Umbrella	PRJNA730822	HG00146 assembly generated by the Human Pangenome Reference Consortium	SAMN41021634	HG00146	Homo sapiens
0	Assembly of HG00232	Umbrella	PRJNA730822	HG00232 assembly generated by the Human Pangenome Reference Consortium	SAMN41021635	HG00232	Homo sapiens
0	Assembly of HG00321	Umbrella	PRJNA730822	HG00321 assembly generated by the Human Pangenome Reference Consortium	SAMN41021636	HG00321	Homo sapiens
0	Assembly of HG00126	Umbrella	PRJNA730822	HG00126 assembly generated by the Human Pangenome Reference Consortium	SAMN41021637	HG00126	Homo sapiens
0	Assembly of HG00133	Umbrella	PRJNA730822	HG00133 assembly generated by the Human Pangenome Reference Consortium	SAMN41021638	HG00133	Homo sapiens
0	Assembly of HG00290	Umbrella	PRJNA730822	HG00290 assembly generated by the Human Pangenome Reference Consortium	SAMN41021639	HG00290	Homo sapiens
0	Assembly of NA19443	Umbrella	PRJNA730822	NA19443 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021640	NA19443	Homo sapiens
0	Assembly of HG00128	Umbrella	PRJNA730822	HG00128 assembly generated by the Human Pangenome Reference Consortium	SAMN41021641	HG00128	Homo sapiens
0	Assembly of NA19036	Umbrella	PRJNA730822	NA19036 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021642	NA19036	Homo sapiens
0	Assembly of NA18505	Umbrella	PRJNA730822	NA18505 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021643	NA18505	Homo sapiens
0	Assembly of HG00243	Umbrella	PRJNA730822	HG00243 assembly generated by the Human Pangenome Reference Consortium	SAMN41021644	HG00243	Homo sapiens
0	Assembly of HG03583	Umbrella	PRJNA730822	HG03583 assembly generated by the Human Pangenome Reference Consortium	SAMN41021645	HG03583	Homo sapiens
0	Assembly of HG00329	Umbrella	PRJNA730822	HG00329 assembly generated by the Human Pangenome Reference Consortium	SAMN41021646	HG00329	Homo sapiens
0	Assembly of HG03784	Umbrella	PRJNA730822	HG03784 assembly generated by the Human Pangenome Reference Consortium	SAMN41021647	HG03784	Homo sapiens
0	Assembly of NA20806	Umbrella	PRJNA730822	NA20806 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021648	NA20806	Homo sapiens
0	Assembly of NA21144	Umbrella	PRJNA730822	NA21144 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021649	NA21144	Homo sapiens
0	Assembly of NA20827	Umbrella	PRJNA730822	NA20827 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021650	NA20827	Homo sapiens
0	Assembly of HG03521	Umbrella	PRJNA730822	HG03521 assembly generated by the Human Pangenome Reference Consortium	SAMN41021651	HG03521	Homo sapiens
0	Assembly of NA20762	Umbrella	PRJNA730822	NA20762 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021652	NA20762	Homo sapiens
0	Assembly of HG00344	Umbrella	PRJNA730822	HG00344 assembly generated by the Human Pangenome Reference Consortium	SAMN41021653	HG00344	Homo sapiens
0	Assembly of HG00350	Umbrella	PRJNA730822	HG00350 assembly generated by the Human Pangenome Reference Consortium	SAMN41021654	HG00350	Homo sapiens
0	Assembly of NA20357	Umbrella	PRJNA730822	NA20357 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021655	NA20357	Homo sapiens
0	Assembly of HG03572	Umbrella	PRJNA730822	HG03572 assembly generated by the Human Pangenome Reference Consortium	SAMN41021656	HG03572	Homo sapiens
0	Assembly of HG02583	Umbrella	PRJNA730822	HG02583 assembly generated by the Human Pangenome Reference Consortium	SAMN41021657	HG02583	Homo sapiens
0	Assembly of NA20287	Umbrella	PRJNA730822	NA20287 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021658	NA20287	Homo sapiens
0	Assembly of HG00272	Umbrella	PRJNA730822	HG00272 assembly generated by the Human Pangenome Reference Consortium	SAMN41021659	HG00272	Homo sapiens
0	Assembly of HG00097	Umbrella	PRJNA730822	HG00097 assembly generated by the Human Pangenome Reference Consortium	SAMN41021660	HG00097	Homo sapiens
0	Assembly of NA18879	Umbrella	PRJNA730822	NA18879 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021661	NA18879	Homo sapiens
0	Assembly of HG01766	Umbrella	PRJNA730822	HG01766 assembly generated by the Human Pangenome Reference Consortium	SAMN41021662	HG01766	Homo sapiens
