title	type	Description	Sample	Organism
Assembly of HG02615	Umbrella	HG02615 assembly generated by the Human Pangenome Reference Consortium	HG02615	Homo sapiens
Assembly of HG00738	Umbrella	HG00738 assembly generated by the Human Pangenome Reference Consortium	HG00738	Homo sapiens
Assembly of HG03927	Umbrella	HG03927 assembly generated by the Human Pangenome Reference Consortium	HG03927	Homo sapiens
Assembly of HG00642	Umbrella	HG00642 assembly generated by the Human Pangenome Reference Consortium	HG00642	Homo sapiens
Assembly of HG01346	Umbrella	HG01346 assembly generated by the Human Pangenome Reference Consortium	HG01346	Homo sapiens
Assembly of HG02647	Umbrella	HG02647 assembly generated by the Human Pangenome Reference Consortium	HG02647	Homo sapiens
Assembly of HG03831	Umbrella	HG03831 assembly generated by the Human Pangenome Reference Consortium	HG03831	Homo sapiens
Assembly of HG01993	Umbrella	HG01993 assembly generated by the Human Pangenome Reference Consortium	HG01993	Homo sapiens
Assembly of HG01433	Umbrella	HG01433 assembly generated by the Human Pangenome Reference Consortium	HG01433	Homo sapiens
Assembly of HG04184	Umbrella	HG04184 assembly generated by the Human Pangenome Reference Consortium	HG04184	Homo sapiens
Assembly of HG02683	Umbrella	HG02683 assembly generated by the Human Pangenome Reference Consortium	HG02683	Homo sapiens
Assembly of HG02300	Umbrella	HG02300 assembly generated by the Human Pangenome Reference Consortium	HG02300	Homo sapiens
Assembly of HG02738	Umbrella	HG02738 assembly generated by the Human Pangenome Reference Consortium	HG02738	Homo sapiens
Assembly of HG01884	Umbrella	HG01884 assembly generated by the Human Pangenome Reference Consortium	HG01884	Homo sapiens
Assembly of HG01496	Umbrella	HG01496 assembly generated by the Human Pangenome Reference Consortium	HG01496	Homo sapiens
Assembly of HG00609	Umbrella	HG00609 assembly generated by the Human Pangenome Reference Consortium	HG00609	Homo sapiens
Assembly of HG01981	Umbrella	HG01981 assembly generated by the Human Pangenome Reference Consortium	HG01981	Homo sapiens
Assembly of HG02004	Umbrella	HG02004 assembly generated by the Human Pangenome Reference Consortium	HG02004	Homo sapiens
Assembly of HG02280	Umbrella	HG02280 assembly generated by the Human Pangenome Reference Consortium	HG02280	Homo sapiens
Assembly of HG01099	Umbrella	HG01099 assembly generated by the Human Pangenome Reference Consortium	HG01099	Homo sapiens
Assembly of HG02809	Umbrella	HG02809 assembly generated by the Human Pangenome Reference Consortium	HG02809	Homo sapiens
Assembly of HG01943	Umbrella	HG01943 assembly generated by the Human Pangenome Reference Consortium	HG01943	Homo sapiens
Assembly of HG02293	Umbrella	HG02293 assembly generated by the Human Pangenome Reference Consortium	HG02293	Homo sapiens
Assembly of HG03704	Umbrella	HG03704 assembly generated by the Human Pangenome Reference Consortium	HG03704	Homo sapiens
Assembly of HG02735	Umbrella	HG02735 assembly generated by the Human Pangenome Reference Consortium	HG02735	Homo sapiens
Assembly of HG02451	Umbrella	HG02451 assembly generated by the Human Pangenome Reference Consortium	HG02451	Homo sapiens
Assembly of HG01934	Umbrella	HG01934 assembly generated by the Human Pangenome Reference Consortium	HG01934	Homo sapiens
Assembly of HG00597	Umbrella	HG00597 assembly generated by the Human Pangenome Reference Consortium	HG00597	Homo sapiens
Assembly of HG02015	Umbrella	HG02015 assembly generated by the Human Pangenome Reference Consortium	HG02015	Homo sapiens
Assembly of HG01261	Umbrella	HG01261 assembly generated by the Human Pangenome Reference Consortium	HG01261	Homo sapiens
Assembly of HG01975	Umbrella	HG01975 assembly generated by the Human Pangenome Reference Consortium	HG01975	Homo sapiens
Assembly of HG00408	Umbrella	HG00408 assembly generated by the Human Pangenome Reference Consortium	HG00408	Homo sapiens
Assembly of HG02056	Umbrella	HG02056 assembly generated by the Human Pangenome Reference Consortium	HG02056	Homo sapiens
Assembly of HG01192	Umbrella	HG01192 assembly generated by the Human Pangenome Reference Consortium	HG01192	Homo sapiens
Assembly of HG03834	Umbrella	HG03834 assembly generated by the Human Pangenome Reference Consortium	HG03834	Homo sapiens
Assembly of HG02258	Umbrella	HG02258 assembly generated by the Human Pangenome Reference Consortium	HG02258	Homo sapiens
Assembly of HG02129	Umbrella	HG02129 assembly generated by the Human Pangenome Reference Consortium	HG02129	Homo sapiens
Assembly of HG01074	Umbrella	HG01074 assembly generated by the Human Pangenome Reference Consortium	HG01074	Homo sapiens
Assembly of HG03041	Umbrella	HG03041 assembly generated by the Human Pangenome Reference Consortium	HG03041	Homo sapiens
Assembly of HG00639	Umbrella	HG00639 assembly generated by the Human Pangenome Reference Consortium	HG00639	Homo sapiens
Assembly of HG01081	Umbrella	HG01081 assembly generated by the Human Pangenome Reference Consortium	HG01081	Homo sapiens
Assembly of HG03239	Umbrella	HG03239 assembly generated by the Human Pangenome Reference Consortium	HG03239	Homo sapiens
Assembly of HG03017	Umbrella	HG03017 assembly generated by the Human Pangenome Reference Consortium	HG03017	Homo sapiens
Assembly of HG01960	Umbrella	HG01960 assembly generated by the Human Pangenome Reference Consortium	HG01960	Homo sapiens
Assembly of HG02841	Umbrella	HG02841 assembly generated by the Human Pangenome Reference Consortium	HG02841	Homo sapiens
Assembly of HG02984	Umbrella	HG02984 assembly generated by the Human Pangenome Reference Consortium	HG02984	Homo sapiens
Assembly of HG03050	Umbrella	HG03050 assembly generated by the Human Pangenome Reference Consortium	HG03050	Homo sapiens
Assembly of HG01940	Umbrella	HG01940 assembly generated by the Human Pangenome Reference Consortium	HG01940	Homo sapiens
Assembly of HG02514	Umbrella	HG02514 assembly generated by the Human Pangenome Reference Consortium	HG02514	Homo sapiens
Assembly of HG00658	Umbrella	HG00658 assembly generated by the Human Pangenome Reference Consortium	HG00658	Homo sapiens
Assembly of HG01150	Umbrella	HG01150 assembly generated by the Human Pangenome Reference Consortium	HG01150	Homo sapiens
Assembly of HG01969	Umbrella	HG01969 assembly generated by the Human Pangenome Reference Consortium	HG01969	Homo sapiens
Assembly of HG01252	Umbrella	HG01252 assembly generated by the Human Pangenome Reference Consortium	HG01252	Homo sapiens
Assembly of HG00558	Umbrella	HG00558 assembly generated by the Human Pangenome Reference Consortium	HG00558	Homo sapiens
Assembly of HG02273	Umbrella	HG02273 assembly generated by the Human Pangenome Reference Consortium	HG02273	Homo sapiens
Assembly of NA19120	Umbrella	NA19120 assembly generated by the Human Pangenome Reference Consortium	NA19120	Homo sapiens
